# Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Product Name,LCDB Summary Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Product Description,This table summarizes the results reported in the Details table by listing what the LCDB authors consider to be the more likely period, amplitude, diameter, albedo, and H/G(12) values from among those details records. All amplitudes are peak-to-peak, not average-to-peak. This table is the foundation for the commonly seen frequency-diameter plots. The majority of details records have no date of observation and so have the default date of 1899-12-30; these are not considered when finding the START/STOPTIME values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Start Time,1913-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Stop Time,2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Target Name,Multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Target Type,Asteroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Author List,Warner, B.D.; Harris, A.W.; Pravec, P.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Facility,Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Instrument,Literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Product Processing Level,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Science Search Facet,Photometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Science Search Facet,Physical Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Science Search Facet,Lightcurve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Science Search Facet,Taxonomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Column definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Number,Name,Desig,Family,CSource,Class,DiamSource,DiamFlag,Diam,HSource,10-H,HBand,GSource,G,G2,AlbSource,AlbFlag,Albedo,PFlag,19-Period,PerDesc,AmpFlag,AmpMin,23-AmpMax,U,Notes,IsBinary,Pole,Survey,ExNotes,Private
#integer,string,string,string,string,string,string,string,real,string,real,string,string,real,real,string,string,real,string,real,string,string,real,real,string,string,string,string,string,string,string
#integer,string,string,string,string,string,string,string,km,string,magnitude,string,string,dimensionless value,dimensionless value,string,string,Albedo,string,hours,string,string,magnitude,magnitude,string,string,string,Boolean,string,Boolean,Boolean
#-9,-,-,-,-,-,-,-,-9.99,-,-9.99,V,-,-9.99,-9.99,-,-,-9.99,-,-9.99,-,-,-9.99,-9.99,-,-,-,N,-,N,N
#The permanent number assigned by the Minor Planet Center, if any.,The name assigned to the asteroid at the time of observations. If not named, the preliminary designation assigned by the MPC. It is possible that this will not match the name in the current version of the MPCORB file since the asteroid may have been named since the observations or it has a different designation.,The current MPC designation. N.B. An object may have one or more previous designations.,The orbital group or collisional family. See the pds_readme.pdf, section 3.1.2 and Tables 3.1.2.2 and 3.1.2.3.,This flag indicating the source of the taxonomic class. See pds_readme.pdf, Table 4.1.4.1.,The taxonomic class of the asteroid, usually based on the Tholen or Bus-DeMeo system. If the CSource flag indicates an assumed class, this is based on the orbital group or family.,This flag indicates the source for the assigned diameter, e.g., Calculated. See the pds_readme.pdf, Table 4.1.4.6.,This flag indicates if the assigned diameter is a minimum or maximum value.,The effective diameter of the asteroid. This could be a direct measurement, e.g., IR observations, or based on using H and (assumed) albedo.,This flag gives the source for the assigned H (absolute magnitude) of the asteroid, e.g., MPCOrb or the literature. See pds_readme.pdf, Table 4.1.4.2.,The absolute magnitude of the asteroid. Usually this is on the H-G system. If based on the H-G12 system, the HSource flag will indicate such.,The photometric band of the H magnitude, e.g., V (default), Sloan r' (SR), or ATLAS (AO or AC). If not given explicitly or, very rarely, it cannot be safely inferred from the source, the default of V is used.,This flag indicates the source of the phase slope parameter (G) on the H-G12 system. See the pds_readme.pdf, section 3.1.1 and Table 4.1.4.4.,The phase slope parameter for the asteroid. If GSource is not 'G', then the value is G on the H-G System. If GSource = 'G' and there is no value for G2, the value is G1 on the H-G12 system. If there is a value for G2, then G is G1 on the H-G1,G2 system.,The second phase slope parameter for the asteroid on the H-G1,G2 system. ,This flag indicates the source of the assigned albedo, e.g., Assumed, Calculated. See the pds_readme.pdf, Table 4.1.4.7.,Indicates if the albedo is a minimum or maximum value.This flag indicates if the albedo value is a minimum or maximum.,The assigned albedo of the object. Unless otherwise indicated, this is pV (visual).,This flag indicates if the assigned period is a minimum or maximum value or if there is only a descriptive value, e.g., long. See the pds_readme.pdf, Table 4.1.5.2.,The rotation period of the asteroid. This is usually a synodic period. If sidereal (from a model), the PFlag field will indicate such.,When no numeric value for the period is available or can be reasonably inferred, , this field will give a description, e.g., long. The PFlag will be set in this case.,This flag indicates if the AmpMax field is a minimum or maximum value. It does not apply to the AmpMin field. N.B. Amplitudes are peak-to-peak (P-P).,This is the minimum reported lightcurve amplitude (P-P). It can be from the same source as the AmpMax value, or it can be from another source.,This is the maximum reported lightcurve amplitude (P-P). It can be from the same source as the AmpMin value, or it can be from another source.,The reliability of the adopted period solution. Values 2-,2,2+,3-, and 3 are considered useful for statistical studies. See the pds_readme.pdf, section 4.1.2.,This can consist of one or more single-character values that qualify the summary record. For example, T? would indicate the asteroid is a suspected tumbler. See the pds_readme.pdf, Table 4.1.5.3.,This flag indicates if the object is a suspected/confirmed binary asteroid or a multiple system (?=Suspected, B=Binary, M=Multiple).,This flag indicates if a spin axis and/or shape model have been reported. One or more details records for the given asteroid will give more information, as will the lc_spinaxis table.,This flag indicates if the results are from a wide-field survey and so should be used with caution for statistical studies. See the pds_readme.pdf, section 5, for a description of the possible values.,This flag indicates if there are one or more entries for the object in the lc_exnotes (extended notes) table. That table includes extended notes from the summary and details tables.,This flag indicates if public releases can include only a limited subset of information, e.g., object number/name and U rating, if any. The purpose is to advise that a result exists but is not available to the public.
# Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ceres,-,9106,S,C,L,-,939.4,M,3.53,V,A,0.12,-9.99,D,-,0.0775,S,9.074170,-,-,0.03,0.06,3,-,-,Y,-,N,N
2,Pallas,-,801,S,B,C,-,512.22,L,4.13,V,A,0.24,-9.99,L,-,0.150,-,7.8132,-,-,0.03,0.16,3,-,-,Y,-,N,N
3,Juno,-,501,S,S,L,-,257.88,L,5.28,V,L,0.32,-9.99,D,-,0.2052,-,7.210,-,-,0.11,0.22,3,-,-,Y,-,N,N
4,Vesta,-,401,S,V,L,-,525,L,3.20,V,L,0.35,-9.99,L,-,0.3363,-,5.342,-,-,0.12,0.19,3,-,-,Y,-,N,N
5,Astraea,-,2001,S,S,L,-,115.00,M,6.85,V,A,0.24,-9.99,D,-,0.2430,-,16.806,-,-,0.16,0.27,3,-,-,Y,-,N,N
6,Hebe,-,9104,S,S,D,-,182.84,M,5.65,V,A,0.24,-9.99,D,-,0.2903,-,7.2745,-,-,0.05,0.21,3,-,-,Y,-,N,N
7,Iris,-,9104,S,S,D,-,198.97,M,5.6,V,A,0.24,-9.99,D,-,0.2567,-,7.139,-,-,0.02,0.37,3,-,-,Y,-,N,N
8,Flora,-,402,T,S,L,-,138.79,L,6.56,V,L,0.32,-9.99,L,-,0.2179,-,12.865,-,-,0.07,0.11,3,-,-,Y,-,N,N
9,Metis,-,9104,T,S,L,-,199.92,L,6.33,V,L,0.23,-9.99,L,-,0.1298,-,5.079,-,-,0.05,0.32,3,-,-,Y,-,N,N
10,Hygiea,-,601,S,C,L,-,350.94,M,5.43,V,A,0.12,-9.99,D,-,0.0965,-,13.828,-,-,-9.99,0.23,3,-,-,Y,-,N,N
11,Parthenope,-,9104,S,S,L,-,160.08,L,6.57,V,L,0.24,-9.99,L,-,0.1623,-,13.7204,-,-,0.05,0.12,3,-,-,Y,-,N,N
12,Victoria,-,9104,S,L,L,-,127.35,L,7.06,V,L,0.22,-9.99,L,-,0.1633,-,8.6599,-,-,0.04,0.42,3,-,-,Y,-,N,N
13,Egeria,-,9104,S,C,D,-,207.44,M,6.8,V,A,0.24,-9.99,D,-,0.0782,-,7.045,-,-,0.12,0.47,3,-,-,Y,-,N,N
14,Irene,-,9104,S,S,C,-,152.28,L,6.30,V,A,0.24,-9.99,L,-,0.230,-,15.028,-,-,0.03,0.16,3,-,-,Y,-,N,N
15,Eunomia,-,502,S,S,D,-,252.75,M,5.37,V,A,0.24,-9.99,D,-,0.1966,-,6.083,-,-,0.40,0.53,3,-,-,Y,-,N,N
16,Psyche,-,9106,S,X,L,-,221.90,L,5.93,V,L,0.21,-9.99,D,-,0.1523,-,4.196,-,-,0.03,0.34,3,-,-,Y,-,N,N
17,Thetis,-,9104,S,S,L,-,93.32,L,7.9,V,L,0.23,-9.99,L,-,0.1403,S,12.27048,-,-,0.20,0.40,3,-,-,Y,-,N,N
18,Melpomene,-,9104,S,S,D,-,138.55,M,6.5,V,A,0.24,-9.99,D,-,0.2311,-,11.570,-,-,0.10,0.34,3,-,-,Y,-,N,N
19,Fortuna,-,9104,S,C,L,-,223.07,L,7.152,V,L,0.162,-9.99,L,-,0.0489,-,7.4432,-,-,0.23,0.30,3,-,-,Y,-,N,N
20,Massalia,-,404,S,S,D,-,145.17,M,6.55,V,A,0.24,-9.99,D,-,0.2011,-,8.098,-,-,0.17,0.27,3,-,-,Y,-,N,N
21,Lutetia,-,9104,S,X,C,-,100.69,L,7.35,V,A,0.24,-9.99,A,-,0.20,-,8.1655,-,-,0.05,0.25,3,-,-,Y,-,N,N
22,Kalliope,-,9106,S,X,L,-,142.99,L,6.45,V,A,0.12,-9.99,D,-,0.2272,-,4.1483,-,-,0.03,0.53,3,-,B,Y,-,N,N
23,Thalia,-,9105,S,S,D,-,106.51,M,7.16,V,A,0.20,-9.99,D,-,0.2129,-,12.312,-,>,0.10,0.3,3,-,-,Y,-,N,N
24,Themis,-,602,S,B,L,-,202.25,L,7.088,V,L,0.18,-9.99,L,-,0.0631,-,8.374,-,-,0.09,0.14,3,-,-,Y,-,N,N
25,Phocaea,-,701,S,S,S,-,75.11,M,7.83,V,A,0.24,-9.99,S,-,0.2310,-,9.9341,-,-,0.03,0.25,3,-,-,Y,-,N,N
26,Proserpina,-,9105,S,S,D,-,94.80,M,7.5,V,A,0.20,-9.99,D,-,0.1965,-,13.110,-,-,0.08,0.21,3,-,-,Y,-,N,N
27,Euterpe,-,410,S,S,C,-,103.76,L,7.0,V,A,0.24,-9.99,A,-,0.26,-,10.4082,-,-,0.10,0.21,3,-,-,Y,-,N,N
28,Bellona,-,9106,S,S,L,-,97.00,M,7.09,V,A,0.12,-9.99,D,-,0.2738,-,15.706,-,-,0.06,0.31,3,-,-,Y,-,N,N
29,Amphitrite,-,9104,S,S,D,-,210.42,M,6.01,V,A,0.24,-9.99,D,-,0.1574,-,5.3921,-,-,0.04,0.15,3,-,-,Y,-,N,N
30,Urania,-,9104,S,S,L,-,98.99,L,7.53,V,L,0.23,-9.99,L,-,0.1753,-,13.686,-,-,0.11,0.45,3,-,-,Y,-,N,N
31,Euphrosyne,-,901,S,C,L,-,279.82,L,6.7,V,L,0.09,-9.99,L,-,0.0471,-,5.530,-,-,0.06,0.11,3,-,-,Y,-,N,N
32,Pomona,-,9104,S,S,D,-,80.32,M,7.66,V,A,0.24,-9.99,D,-,0.2363,-,9.448,-,-,0.13,0.33,3,-,-,Y,-,N,N
33,Polyhymnia,-,9106,S,S,C,-,52.65,L,8.564,V,L,0.34,-9.99,L,-,0.24,-,18.608,-,-,0.12,0.25,3,-,-,Y,-,N,N
34,Circe,-,9105,S,C,L,-,95.99,M,8.51,V,A,0.20,-9.99,D,-,0.0756,-,12.15,-,>,0.17,0.25,3,-,-,Y,-,N,N
